Year_int,festival,nominated_films,winning_films,nominated_film_list,winning_film_list
2011,BERLINALE,8,2,A Cat in Paris; A Separation; Bullhead; Dimanche/Sunday; Extremely Loud & Incredibly Close; Margin Call; Pina; The Iron Lady,A Separation; The Iron Lady
2011,CANNES,5,2,Drive; Footnote; Midnight in Paris; The Artist; The Tree of Life,Midnight in Paris; The Artist
2011,CLERMONT-FERRAND,1,0,A Morning Stroll,
2011,FRAMELINE,0,0,,
2011,IDFA,0,0,,
2011,TIFF,10,2,Albert Nobbs; Anonymous; In Darkness; Moneyball; Monsieur Lazhar; Paradise Lost 3: Purgatory; The Descendants; The Ides of March; Undefeated; W.E.,The Descendants; Undefeated
2012,BERLINALE,3,1,A Royal Affair; Les Misérables; War Witch,Les Misérables
2012,CANNES,4,1,Amour; Beasts of the Southern Wild; Head over Heels; Moonrise Kingdom,Amour
2012,CLERMONT-FERRAND,0,0,,
2012,FRAMELINE,0,0,,
2012,IDFA,5,2,5 Broken Cameras; Open Heart; Searching for Sugar Man; The Gatekeepers; Zero Dark Thirty,Searching for Sugar Man; Zero Dark Thirty
2012,TIFF,3,2,Anna Karenina; Argo; Kon-Tiki,Anna Karenina; Argo
2013,BERLINALE,5,0,American Hustle; Before Midnight; The Broken Circle Breakdown; The Croods; The Grandmaster,
2013,CANNES,8,2,All Is Lost; Inside Llewyn Davis; Nebraska; Omar; The Great Beauty; The Great Gatsby; The Hunt; The Missing Picture,The Great Beauty; The Great Gatsby
2013,CLERMONT-FERRAND,2,0,Avant Que De Tout Perdre (Just before Losing Everything); The Voorman Problem,
2013,FRAMELINE,0,0,,
2013,IDFA,5,1,20 Feet from Stardom; Cutie and the Boxer; Dirty Wars; Facing Fear; The Act of Killing,20 Feet from Stardom
2013,TIFF,12,3,12 Years a Slave; August: Osage County; Dallas Buyers Club; Ernest & Celestine; Gravity; Mandela: Long Walk to Freedom; Philomena; Prisoners; The Act of Killing; The Invisible Woman; The Square; The Wind Rises,12 Years a Slave; Dallas Buyers Club; Gravity
2014,BERLINALE,3,2,Boyhood; Selma; The Dam Keeper,Boyhood; Selma
2014,CANNES,9,0,"Foxcatcher; How to Train Your Dragon 2; Leviathan; Mr. Turner; The Bigger Picture; The Salt of the Earth; Timbuktu; Two Days, One Night; Wild Tales",
2014,CLERMONT-FERRAND,1,0,Butter Lamp (La Lampe Au Beurre De Yak),
2014,FRAMELINE,1,0,The Lego Movie,
2014,IDFA,3,1,CitizenFour; Our Curse; Virunga,CitizenFour
2014,TIFF,16,5,A Single Life; Begin Again; Beyond the Lights; Boogaloo and Graham; Finding Vivian Maier; Ida; Me and My Moulton; Nightcrawler; Song of the Sea; Still Alice; The Imitation Game; The Judge; The Tale of the Princess Kaguya; The Theory of Everything; Whiplash; Wild,Ida; Still Alice; The Imitation Game; The Theory of Everything; Whiplash
2015,BERLINALE,4,0,"45 Years; Fifty Shades of Grey; The 100-Year-Old Man Who Climbed out the Window and Disappeared; What Happened, Miss Simone?",
2015,CANNES,8,4,Amy; Ave Maria; Carol; Inside Out; Mad Max: Fury Road; Sicario; Son of Saul; Youth,Amy; Inside Out; Mad Max: Fury Road; Son of Saul
2015,CLERMONT-FERRAND,0,0,,
2015,FRAMELINE,0,0,,
2015,IDFA,3,0,Cartel Land; Claude Lanzmann: Spectres of the Shoah; Racing Extinction,
2015,TIFF,12,3,Anomalisa; Brooklyn; Embrace of the Serpent; Mustang; Room; Spotlight; The Danish Girl; The Look of Silence; The Martian; Theeb; Trumbo; Winter on Fire: Ukraine's Fight for Freedom,Room; Spotlight; The Danish Girl
2016,BERLINALE,2,0,Blind Vaysha; Fire at Sea,
2016,CANNES,9,1,Captain Fantastic; Elle; Hell or High Water; Loving; The Lobster; The Red Turtle; The Salesman; Timecode; Toni Erdmann,The Salesman
2016,CLERMONT-FERRAND,1,0,Ennemis Intérieurs,
2016,FRAMELINE,0,0,,
2016,IDFA,4,1,"4.1 Miles; Joe's Violin; Life, Animated; O.J.: Made in America",O.J.: Made in America
2016,TIFF,12,5,Arrival; Deepwater Horizon; I Am Not Your Negro; Jackie; La La Land; Land of Mine; Lion; Manchester by the Sea; Moonlight; My Life as a Zucchini; Nocturnal Animals; The White Helmets,Arrival; La La Land; Manchester by the Sea; Moonlight; The White Helmets
2017,BERLINALE,4,2,A Fantastic Woman; Call Me by Your Name; On Body and Soul; Strong Island,A Fantastic Woman; Call Me by Your Name
2017,CANNES,4,1,CARNE y ARENA; Faces Places; Loveless; The Square,CARNE y ARENA
2017,CLERMONT-FERRAND,2,0,DeKalb Elementary; Garden Party,
2017,FRAMELINE,0,0,,
2017,IDFA,0,0,,
2017,TIFF,15,5,"Abacus: Small Enough to Jail; Darkest Hour; Dunkirk; I, Tonya; Lady Bird; Molly's Game; Mudbound; Roman J. Israel, Esq.; The Breadwinner; The Disaster Artist; The Florida Project; The Insult; The Shape of Water; Three Billboards outside Ebbing, Missouri; Victoria & Abdul","Darkest Hour; Dunkirk; I, Tonya; The Shape of Water; Three Billboards outside Ebbing, Missouri"
2018,BERLINALE,0,0,,
2018,CANNES,0,0,,
2018,CLERMONT-FERRAND,0,0,,
2018,FRAMELINE,0,0,,
2018,IDFA,1,0,Of Fathers and Sons,
2018,TIFF,3,0,First Reformed; Mother; The Wife,
2019,BERLINALE,0,0,,
2019,CANNES,0,0,,
2019,CLERMONT-FERRAND,1,0,Les Misérables,
2019,FRAMELINE,0,0,,
2019,IDFA,0,0,,
2019,TIFF,0,0,,
